KOD10;NEV
A0000;Cholera (Vibrio cholerae 01, cholera biovariáns okozta)
A0010;Cholera (Vibrio cholerae 01, El Tor biovariáns okozta)
A0090;Cholera k.m.n.
A0100;Hastyphus
A0110;"Paratyphus ""A"""
A0120;"Paratyphus ""B"""
A0130;"Paratyphus ""C"""
A0140;Paratyphus k.m.n.
A0200;Salmonella bélhurut
A0210;Salmonella sepsis
A0220;Salmonella helyi fertőzések
A0280;Egyéb meghatározott salmonella fertőzések
A0290;Salmonella fertőzés k.m.n.
A0300;Shigellosis, Shigella dysenteriae okozta
A0310;Shigellosis Shigella flexneri miatt
A0320;Shigellosis, Shigella boydii miatt
A0330;Shigellosis, Shigella sonnei miatt
A0380;Egyéb shigellosis
A0390;Shigellosis k.m.n.
A0400;Enteropathogen Escherichia coli fertőzés
A0410;Enterotoxikus Escherichia coli fertőzés
A0420;Enteroinvasiv Escherichia coli fertőzés
A0430;Enterohaemorrhagiás Escherichia coli fertőzés
A0440;Escherichia coli enteritis, k.m.n.
A0450;Campylobacter okozta bélhurut
A0460;Yersinia enterocolitica okozta bélhurut
A0470;Clostridium difficile okozta vékony- és vastagbélgyulladás
A0480;Egyéb meghatározott baktériumok által okozott bélfertőzések
A0490;Baktériumok által okozott bélfertőzés k.m.n.
A0500;Staphylococcus által okozott ételmérgezés
A0510;Botulizmus
A0520;Clostridium perfringens [Clostridium welchii] okozta ételmérgezés
A0530;Vibrio parahaemolyticus ételmérgezés
A0540;Bacillus cereus ételmérgezés
A0580;Egyéb meghatározott baktériumok által okozott ételmérgezések
A0590;Bakteriális ételmérgezés, k.m.n.
A0600;Heveny amoebás dysenteria
A0610;Idült bél amoebiasis
A0620;Amoebás vastagbélgyulladás, nem vérhassal járó
A0630;Bél amoeboma
A0640;Amoebás májtályog
A0650;Amoebás tüdőtályog (J99.8*)
A0660;Amoebás agytályog (G07*)
A0670;Bőr amoebiasis
A0680;Egyéb lokalizációjú amoebás fertőzés
A0690;Amoebiasis k.m.n.
A0700;Balantidiasis
A0710;Giardiasis [lambliasis]
A0720;Cryptosporidiosis
A0730;Isosporosis
A0780;Egyéb meghatározott protozoon bélbetegségek
A0790;Protozoon bélbetegség k.m.n.
A0800;Rotavirus bélhurut
A0810;Norwalk-ágens által okozott heveny gyomor-bélbetegség
A0820;Adenovirus okozta bélhurut
A0830;Egyéb vírusos bélhurut
A0840;Vírusos bélfertőzés k.m.n.
A0850;Egyéb meghatározott bélfertőzések
A09H0;Feltételezetten fertőző eredetű hasmenés és gyomor-bélhurut
A1500;Tüdőgümőkór, a köpet mikroszkópos vizsgálatával, tenyésztéssel vagy anélkül igazolt
A1501;Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, egyoldali
A1502;Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, kétoldali
A1503;Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, egyoldali
A1504;Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, kétoldali
A1505;Tüdőgümőkór, mikroszkópos pozitiv, recidiva, caverna nincs
A1506;Tüdőgümőkór, mikroszkópos pozitiv, recidiva, cavernával
A150A;Tüdőgümőkór, köpet mikr. vizsg. teny.-el, vagy anélk. ig. polirezist.
A1510;Tüdőgümőkór, csak tenyésztéssel igazolt
A1511;Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali
A1512;Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, kétoldali
A1513;Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, egyoldali
A1514;Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, kétoldali
A1515;Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, egyoldali
A1516;Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, kétoldali
A151A;Tüdőgümőkór, csak tenyésztéssel igazolt - polirezisztens kórokozóval
A1520;Tüdőgümőkór, szövettani vizsgálattal kimutatott
A1521;Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, egyoldali
A1522;Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali
A1523;Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, egyoldali
A1524;Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, kétoldali
A1525;Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, egyoldali
A1526;Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, kétoldali
A1530;Tüdőgümőkór, k.m.n. módon igazolt
A1531;Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, egyoldali
A1532;Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, kétoldali
A1533;Tüdőgümőkór. k.m.n. módon igazolt, cavernával, egyoldali
A1534;Tüdőgümőkór. k.m.n. módon igazolt, cavernával kétoldali
A1535;Tüdőgümőkór. k.m.n. módon igazolt, recidiva, egyoldali
A1536;Tüdőgümőkór. k.m.n. módon igazolt, recidiva, kétoldali
A1540;Mellkasi nyirokcsomó gümőkór, bakter. és szövettannal igazolt
A1541;Hilusi nyirokcsomó gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1542;Mediastinalis nyirokcsomó gümőkór, bakt. és/vagy szöv.vizsg. igazolt
A1543;Tracheobronchiális nyirokcsomó gümőkór, bakt. és/vagy szöv.vizsg.igaz
A1550;Gége, légcső, hörgő gümőkór, bakter. és szövettannal igazolt
A1551;Gége gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1552;Hangszalag gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1553;Trachea gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1554;Bronchus gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A155A;A gége,légcső és hörgők gümókórja,bakt. és szöv. vizsg. ig. polirezist
A1560;Gümőkóros mellhártyagyulladás, bakter. és szövettannal igazolt
A1561;Pleuritis - gümőkóros, bakt. és/vagy szövett. vizsg. igazolt
A1562;Empyema - gümőkóros, bakt. és/vagy szövett. vizsg. igazolt
A156A;Gümőkóros mellhártyagyull., bakt. és szöv. vizsg.-tal ig. polirezist.
A1570;Elsődleges légzőszervi gümőkór, bakter. és szövettannal igazolt
A1571;Tüdő primaer complexus, bakt. és/vagy szövett. vizsg. igazolt
A1572;Nyirokcsomó gümőkór (elsődleges), bakt. és/vagy szöv.vizsg. igazolt
A1573;Pleuritis - gümőkóros (elsődleges), bakt. és/vagy szöv.vizsg. igazolt
A1574;Empyema - gümőkóros (elsődleges), bakt. és/vagy szöv. vizsg. igazolt
A1580;Egyéb légzőszervi gümőkór, bakter. és szövettannal igazolt
A1581;Mediastinalis gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1582;Orrgarati gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1583;Orrmelléküregi gümőkór, bakt. és/vagy szövett. vizsg. igazolt
A1590;K.m.n. légzőszervi gümőkór, bakter. és szövettannal igazolt
A1600;Tüdőgümőkór, negatív bakter. és szövettani vizsgálati eredménnyel
A1601;Tüdőgümőkór, neg. bakt. és szövettani eredm. caverna nélk., egyoldali
A1602;Tüdőgümőkór, neg. bakt. és szövettani eredm. caverna nélk., kétoldali
A1603;Tüdőgümőkór, neg. bakt. és szövettani eredm. cavernával, egyoldali
A1604;Tüdőgümőkór, neg. bakt. és szövettani eredm. cavernával, kétoldali
A1605;Tüdőgümőkór, neg. bakt. és szövettani eredm. recidiva, egyoldali
A1606;Tüdőgümőkór, neg. bakt. és szövettani eredm. recidiva, kétoldali
A1610;Tüdőgümőkór, bakteriológiai és szövettani vizsgálat nélkül
A1611;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. caverna nélk., egyoldali
A1612;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. caverna nélk., kétoldali
A1613;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. cavernával, egyoldali
A1614;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. cavernával, kétoldali
A1615;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. recidiva, egyoldali
A1616;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. recidiva, kétoldali
A1620;Tüdőgümőkór, bakteriológiai vagy szövettani vizsgálat említése nélkül
A1621;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., egyold
A1622;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk.caverna nélk., kétold
A1623;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával, egyold
A1624;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk. cavernával kétoldali
A1625;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, egyoldali
A1626;Tüdőgümőkór, bakt.és/vagy szövet.vizsg.eml.nélk. recidiva, kétoldali
A1630;Mellkasi nyirokcsomó gümőkór, bakter. vagy szövettan említése nélkül
A1631;Hilusi nyirokcsomó gükőkór, bakt. vagy szöv.vizsgálat emlitése nélkül
A1632;Mediastinalis nyirokcsomó gümőkór, bakt. vagy szöv.vizsg. eml. nélkül
A1633;Tracheobronchialis nyirokcsomó gümőkór, bakt. v. szöv.vizsg.eml.nélkül
A1640;Gége, légcső és hörgő gümőkór, bakter. vagy szövettan említése nélkül
A1641;Gége gümőkór, bakt. vagy szövettani vizsg. emlitése nélkül
A1642;Hangszalag gümőkór, bakt. vagy szövettani vizsg. emlitése nélkül
A1643;Trachea gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1644;Bronchus gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1650;Gümőkóros mellhártyagyulladás, bakter. vagy szövettan említése nélkül
A1651;Pleuritis - gümőkóros, bakt. vagy szövett. vizsg. emlitése nélkül
A1652;Empyema - gümőkóros, bakt. vagy szövett. vizsg. emlitése nélkül
A1670;Primaer légzőszervi gümőkór, bakter. vagy szövettan említése nélkül
A1671;Tüdő primer-comlexus, bakt. vagy szövett. vizsg. emlitése nélkül
A1672;Mellkasi nyirokcsomó primer gümőkór bakt. vagy szöv.vizsg. eml.nélkül
A1673;Elsődleges, gümőkóros pleuritis, bakt. vagy szöv.vizsgálat emlitése
A1674;Elsődleges, gümőkóros empyema, bakt. vagy szöv.vizsg. emlitése nélkül
A1680;Egyéb légzőszervi gümőkor, bakter. vagy szövettan említése nélkül
A1681;Mediastinalis gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1682;Orrgarati gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1683;Orrmelléküregi gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
A1690;Légzőszervi gümőkór k.m.n., bakter. vagy szövettan említése nélkül
A1700;Gümőkóros agyhártyagyulladás (G01*)
A1710;Az agyhártyák tuberculomája (G07*)
A1780;Az idegrendszer egyéb gümőkórja
A1781;Agyvelő gümőkór (Meningoencephalitis tub.)
A1782;Agyvelő tuberculoma
A1783;Gerincvelő gümőkór
A1784;Polyneuropathia, gümőkóros
A1790;Az idegrendszer gümőkórja k.m.n. (99.8*)
A1800;A csontok és izületek gümőkórja
A1801;Csigolya gümőkór (spondylitis tuberculosa)
A1802;Csípő gümőkór (coxitis)
A1803;Térd gümőkór (gonitis)
A1804;Borda gümőkór (caries costae)
A1805;Lábtő csontok gümőkórja
A1806;Könyök, kéztő izület gümőkórja
A1807;Csecsnyúlvány gümőkór
A1808;Csont, csontvelő gümőkór - egyéb helyen
A1809;Izületek, inak savós burkai gümőkórja
A1810;A húgy-ivarszervek gümőkórja
A1811;Vesekéreg gümőkór
A1812;Vese ulcerocavernosus gümőkór
A1813;Vese massziv tuberculosisos degeneratio
A1814;Ureter gümőkór
A1815;Húgyhólyag gümőkór
A1816;Urethra gümőkór
A1817;Méhtest, adnexum, vulva gümőkór
A1818;Prostata (vesicula seminalis) gümőkór
A1819;Here, mellékhere, ondóvezeték gümőkór
A1820;Gümőkóros perifériás nyirokcsomó betegség
A1821;Nyaki nyirokcsomó gümőkór
A1828;Periferiás nyirokcsomó (egyéb regio) gümőkór
A1830;A bél, a hashártya és a bélfodri mirigyek gümőkórja
A1831;Ileocoecum gümőkór
A1832;Ileum gümőkór
A1833;Anus ( végbél ) gümőkór
A1834;Peritonitis tuberculosa
A1835;Mesenterialis nyirokcsomó gümőkór
A1836;Retroperitonealis nyirokcsomó gümőkór
A1837;Ilecoecum primaer gümőkór
A1838;Ileum primaer gümőkór
A1840;A bőr és a bőralatti szövet gümőkórja
A1841;Cutis primer complexus (gümős)
A1842;Tuberculosis ulcerosa cutis et mucosae
A1843;Tuberculosis cutis luposa
A1844;Tuberculosis cutis verrucosa
A1845;Tuberculosis cutis colliquativa
A1846;Tuberculosis indurativa Bazin
A1847;Erythema nodosum tuberculoticum
A1848;Szemhéj tuberculosis
A1850;A szem gümőkórja
A1851;Iridocyclitis tuberculosa
A1852;Chorioretinitis tuberculosa
A1853;Keratitis intersticialis tuberculosa
A1854;Keratoconjunctivitis interstic. phlyctaenularis tuberculosa
A1855;Episcleritis tuberculosa
A1860;A fül gümőkórja
A1861;Otitis media tuberculosa
A1862;Szájnyálkahártya tuberculosis
A1863;Szájnyálkahártya primaer tuberculosis
A1869;Fül gümőkór - egyéb (rész)
A1870;Mellékvesék gümőkórja (E35.1*)
A1880;Egyéb szervek gümőkórja
A1881;Nyelőcső gümőkór
A1882;Máj gümőkór (tuberculoma)
A1883;Lép gümőkór
A1884;Pajzsmirigy gümőkór
A1885;Emlő gümőkór
A1886;Szívburok gümőkór
A1887;Szívizom gümőkór
A1888;Szívbelhártya gümőkór
A1900;Heveny miliaris gümőkór egy meghatározott helyen
A1901;Heveny miliaris tüdő gümőkór
A1910;Heveny miliaris gümőkór több helyen
A1920;Heveny miliaris gümőkór k.m.n.
A1980;Egyéb miliaris gümőkór
A1990;Miliaris gümőkór k.m.n.
A199A;Miliáris gümőkór k.m.n. ..-polirezisztens kórokozóval.
A2000;Bubópestis
A2010;Cellulocutan pestis
A2020;Tüdőpestis
A2030;Pestises agyhártyagyulladás
A2070;Pestises septicaemia
A2080;Egyéb pestis kórformák
A2090;Pestis k.m.n.
A2100;Tularaemia ulceroglandularis
A2110;Tularaemia oculoglandularis
A2120;Tüdő tularaemia
A2130;A gyomor-bélrendszer tularaemiája
A2170;Generalizált tularaemia
A2180;Tularaemia egyéb formái
A2190;Tularaemia k.m.n.
A2200;Bőr anthrax
A2210;Tüdő anthrax
A2220;Gyomor-bél anthrax
A2270;Anthrax septicaemia
A2280;Az anthrax egyéb formái
A2290;Lépfene k.m.n.
A2300;Brucella melitensis által okozott brucellosis
A2310;Brucella abortus által okozott brucellosis
A2320;Brucella suis által okozott brucellosis
A2330;Brucella canis által okozott brucellosis
A2380;Egyéb brucellosis
A2390;Brucellosis k.m.n.
A2400;Takonykór
A2410;Heveny és fulmináns lefolyású melioidosis
A2420;Félheveny és idült melioidosis
A2430;Egyéb melioidosis
A2440;Melioidosis k.m.n.
A2500;Patkányharapási láz, spirillosis
A2510;Streptobacillosis
A2590;Patkányharapás láz k.m.n.
A2600;Bőr erysipeloid
A2670;Erysipelothrix septicaemia
A2680;Az erysipeloid egyéb formái
A2690;Erysipeloid k.m.n.
A2700;Leptospirosis icterohaemorrhagica [Weil-betegség]
A2780;Leptospirosis egyéb formái
A2790;Leptospirosis k.m.n.
A2800;Pasteurellosis
A2810;Macskakarmolás betegség
A2820;Extraintestinalis yersiniosis
A2880;Egyéb, m.n.o., állatok terjesztette bakteriális betegségek
A2890;Baktériumok által okozott, állatok terjesztette betegség k.m.n.
A3000;Lepra [Hansen-betegség] k.m.n.
A3010;Tuberculoid lepra
A3020;Határesetű tuberculoid lepra
A3030;Határesetű lepra
A3040;Határesetű lepromatosus lepra
A3050;Lepromatosus lepra
A3080;Lepra egyéb formái
A3090;Lepra k.m.n.
A3100;Tüdő mycobacterium fertőzés
A3110;Bőr mycobacterium fertőzés
A3180;Egyéb mycobacterium által okozott fertőzések
A3190;Mycobacterium fertőzés k.m.n.
A3200;Bőr listeriosis
A3210;Listeria meningitis és meningoencephalitis
A3270;Listeria septicaemia
A3280;Listeriosis egyéb formái
A3290;Listeriosis k.m.n.
A33H0;Tetanus neonatorum
A34H0;Szülészeti tetanus
A35H0;Egyéb tetanus
A3600;Torokdiphtheria
A3610;Orrgarat diphtheria
A3620;Gége diphtheria
A3630;Bőr diphtheria
A3680;Egyéb diphtheria
A3690;Diphtheria k.m.n.
A3700;Szamárköhögés, Bordetella pertussis miatt
A3710;Szamárköhögés, Bordetella parapertussis miatt
A3780;Szamárköhögés, egyéb Bordetella fajok miatt
A3790;Szamárköhögés k.m.n.
A38H0;Vörheny
A3900;Meningococcus okozta agyhártyagyulladás (G01*)
A3910;Waterhouse-Friderichsen syndroma (E35.1*)
A3920;Heveny meningicoccaemia
A3930;Idült meningococcaemia
A3940;Meningococcaemia k.m.n.
A3950;A szív meningococcusos betegsége
A3980;Egyéb meningococcus okozta fertőzések
A3990;Meningococcus okozta fertőzés k.m.n.
A4000;Septicaemia, A csoportú streptococcus miatt
A4010;Septicaemia, B csoportú streptococcus miatt
A4020;Septicaemia, D csoportú streptococcus miatt
A4030;Septicaemia Streptococcus pneumoniae miatt
A4080;Egyéb streptococcus okozta septicaemia
A4090;Septicaemia, streptococcus miatt k.m.n.
A4100;Staphylococcus aureus okozta septicaemia
A4110;Egyéb azonosított staphylococcus okozta septicaemia
A4120;Nem azonosított staphylococcus okozta septicaemia
A4130;Haemophilus influenzae okozta septicaemia
A4140;Anaerob kórokozók okozta septicaemia
A4150;Septicaemia egyéb Gram-negatív kórokozók miatt
A4180;Septicaemia, egyéb meghatározott kórokozóval
A4190;Septicaemia, k.m.n.
A4200;Tüdő actinomycosis
A4210;Hasi actinomycosis
A4220;Nyaki-arci actinomycosis
A4270;Actinomyces septicaemia
A4280;Sugárgomba fertőzés egyéb formái
A4290;Sugárgomba fertőzés k.m.n.
A4300;Tüdő nocardiosis
A4310;Bőr nocardiosis
A4380;Nocardiosis egyéb formái
A4390;Nocardiosis k.m.n.
A4400;Szisztémás bartonellosis
A4410;A bőr, ill. a bőr és nyálkahártya bartonellosisa
A4480;Bartonellosis egyéb formái
A4490;Bartonellosis k.m.n.
A46H0;Orbánc (erysipelas)
A4800;Gázgangraena
A4810;Legionárius betegség
A4820;Nem pneumoniás legionárius betegség [Pontiac-láz]
A4830;Toxikus shock syndroma
A4840;Brazil purpurás láz
A4880;Egyéb baktériumok okozta betegségek m.n.o.
A4900;Staphylococcus fertőzés k.m.n.
A4910;Streptococcus fertőzés k.m.n.
A4920;Haemophilus influenzae fertőzés k.m.n.
A4930;Mycoplasma fertőzés k.m.n.
A4980;Egyéb bakteriális fertőzések k.m.n. lokalizációban
A4990;Baktérium fertőzések k.m.n.
A5000;Friss, veleszületett syphilis, tünetekkel
A5010;Korai, veleszületett syphilis, latens
A5020;Korai veleszületett syphilis, k.m.n.
A5030;Késői veleszületett syphilises szembetegség
A5040;Késői veleszületett neurosyphilis [juvenilis neurosyphilis]
A5050;Egyéb késői veleszületett syphilis, tünetekkel
A5060;Késői veleszületett syphilis, latens
A5070;Késői veleszületett vérbaj, k.m.n.
A5090;Veleszületett vérbaj, k.m.n.
A5100;Az ivarszervek elsődleges syphilise
A5110;A végbél elsődleges syphilise
A5120;Elsődleges syphilis, egyéb lokalizációban
A5130;A bőr és a nyálkahártya másodlagos syphilise
A5140;Egyéb másodlagos syphilis
A5150;Friss vérbaj, latens
A5190;Friss vérbaj k.m.n.
A5200;Szív- és érrendszeri syphilis
A5210;Symptomás neurosyphilis
A5220;Aszimptomatikus neurosyphilis
A5230;Neurosyphilis k.m.n.
A5270;Egyéb késői vérbaj
A5280;Késői latens vérbaj
A5290;Késői vérbaj, k.m.n.
A5300;Vérbaj k.m.n. friss vagy késői
A5390;Vérbaj k.m.n.
A5400;A húgyivarrendszer alsó szakaszának kankós fertőzése, tályog nélkül
A5410;A húgyivarrendszer alsó szakaszának kankós fertőzése, tályoggal
A5420;Kankós pelveoperitonotis és a húgyivarrendszer egyéb kankós fertőzései
A5430;A szem kankós fertőzése
A5440;A csont-izomrendszer kankós fertőzése
A5450;Kankós torokgyulladás
A5460;A végbélnyílás és a végbél kankós fertőzése
A5480;Egyéb kankós fertőzések
A5490;Kankós fertőzés k.m.n.
A55H0;Chlamydia lymphogranuloma (venereum)
A5600;A húgyivarrendszer alsó szakaszának chlamydia fertőzése
A5610;Medencei hashártya és egyéb húgyivarrendszeri chlamydia fertőzés
A5620;A húgyivarrendszer chlamydiás fertőzése k.m.n.
A5630;A végbél és a végbélnyílás chlamydiás fertőzése
A5640;A garat chlamydiás fertőzése
A5680;Egyéb lokalizációjú, szexuális úton terjedő chlamydia fertőzés
A57H0;Lágyfekély
A58H0;Granuloma inguinale
A5900;A húgyivarrendszer trichomoniasisa
A5980;Egyéb lokalizációjú trichomoniasis
A5990;Trichomoniasis k.m.n.
A6000;A nemi és a húgyivari szervek herpesvirus fertőzése
A6010;A végbélnyílás körüli bőr és a végbél herpesvirus fertőzése
A6090;Anogenitális herpesvirus fertőzés k.m.n.
A6300;Anogenitális (venerás) csomók
A6380;Egyéb meghatározott, főként szexuális úton terjedő betegségek
A64H0;Szexuális úton terjedő, nem meghatározott betegségek
A65H0;Nem venereás syphilis
A6600;Korai framboesiás elváltozások
A6610;"Multiplex papilloma és ""wet crab"" framboesia"
A6620;Egyéb korai framboesiás bőrlaesiók
A6630;Framboesiás hyperkeratosis
A6640;Framboesiás gummák és fekélyek
A6650;Gangosa
A6660;Csont és izületi framboesiás laesiók
A6670;Egyéb framboesiás manifesztatiok
A6680;Latens framboesia
A6690;Framboesia k.m.n.
A6700;Elsődleges laesiók pintában
A6710;Közbülső laesiók pintában
A6720;Késői laesiók pintában
A6730;Vegyes laesiók pintában
A6790;Pinta k.m.n.
A6800;Tetű által terjesztett visszatérő láz
A6810;Kullancs által terjesztett visszatérő láz
A6890;Visszatérő láz k.m.n.
A6900;Nekrotizáló fekélyes stomatitis
A6910;Egyéb Vincent-típusú fertőzés
A6920;Lyme-kór
A6980;Egyéb meghatározott spirochaeta fertőzés
A6990;Spirochaeta fertőzés, k.m.n.
A70H0;Chlamydia psittaci fertőzés
A7100;Trachoma kezdeti szakasza
A7110;Trachoma aktív szakasza
A7190;Trachoma, k.m.n.
A7400;Chlamydiás kötőhártya-gyulladás (H13.1*)
A7480;Egyéb chlamydia okozta betegségek
A7490;Chlamydia fertőzés, k.m.n.
A7500;Rickettsia prowazeki okozta, tetű által terjesztett kiütéses typhus
A7510;Kiújuló (visszatérő) kiütéses typhus [Brill-kór]
A7520;Rickettsia typhi fertőzés
A7530;Rickettsia tsutsugamusi okozta kiütéses typhus
A7590;Kiütéses typhus k.m.n.
A7700;Foltos láz Rickettsia rickettsi miatt
A7710;Foltos láz Rickettsia conorii miatt
A7720;Foltos láz Rickettsia siberica miatt (szibériai foltos láz)
A7730;Foltos láz Rickettsia australis miatt
